CaseId,ActivityName,ActivityTime,EmployeeID,Department,Location,JobLevel,EmploymentType,HiringManager,RecruitmentSource,CurrentSalary,PerformanceRating,TenureYears,PerformedBy,SystemUsed,HireDate
HR2023_E100370,Job Posted,2023-09-01T10:36:27.613Z,E100370,Sales,Singapore,9,Contract,M869089,Internal,55524,,0,XYZ,XYZ_HRIS,
HR2023_E100370,Application Received,2023-10-06T15:00:00.000Z,E100370,Sales,Singapore,9,Contract,M869089,Internal,55524,,0,XYZ,XYZ_HRIS,
HR2023_E100370,Application Rejected,2023-10-10T14:00:00.000Z,E100370,Sales,Singapore,9,Contract,M869089,Internal,55524,,0,XYZ,XYZ_HRIS,
HR2023_E100806,Job Posted,2023-09-08T10:36:27.613Z,E100806,Engineering,Singapore,4,Part-time,M985482,Referral,51017,,0,XYZ,XYZ_HRIS,
HR2023_E100806,Application Received,2023-10-10T15:00:00.000Z,E100806,Engineering,Singapore,4,Part-time,M985482,Referral,51017,,0,XYZ,XYZ_HRIS,
HR2023_E100806,Application Rejected,2023-10-13T13:00:00.000Z,E100806,Engineering,Singapore,4,Part-time,M985482,Referral,51017,,0,XYZ,XYZ_HRIS,
HR2023_E100933,Job Posted,2023-08-16T10:36:27.613Z,E100933,Finance,Sydney,8,Full-time,M627395,Internal,126433,,0,XYZ,XYZ_HRIS,
HR2023_E100933,Application Received,2023-09-20T13:00:00.000Z,E100933,Finance,Sydney,8,Full-time,M627395,Internal,126433,,0,XYZ,XYZ_HRIS,
HR2023_E100933,Application Rejected,2023-09-25T11:00:00.000Z,E100933,Finance,Sydney,8,Full-time,M627395,Internal,126433,,0,XYZ,XYZ_HRIS,
HR2023_E101091,Job Posted,2023-08-05T10:36:27.613Z,E101091,Marketing,Sydney,1,Full-time,M778096,Agency,191367,,0,XYZ,XYZ_HRIS,
HR2023_E101091,Application Received,2023-08-30T09:00:00.000Z,E101091,Marketing,Sydney,1,Full-time,M778096,Agency,191367,,0,XYZ,XYZ_HRIS,
HR2023_E101091,Application Rejected,2023-09-01T09:00:00.000Z,E101091,Marketing,Sydney,1,Full-time,M778096,Agency,191367,,0,XYZ,XYZ_HRIS,
HR2023_E102072,Job Posted,2023-08-09T10:36:27.613Z,E102072,Marketing,Sydney,3,Full-time,M284129,Internal,193596,,0,XYZ,XYZ_HRIS,
HR2023_E102072,Application Received,2023-08-15T12:00:00.000Z,E102072,Marketing,Sydney,3,Full-time,M284129,Internal,193596,,0,XYZ,XYZ_HRIS,
HR2023_E102072,Application Rejected,2023-08-17T17:00:00.000Z,E102072,Marketing,Sydney,3,Full-time,M284129,Internal,193596,,0,XYZ,XYZ_HRIS,
HR2023_E102120,Job Posted,2023-07-29T10:36:27.613Z,E102120,Marketing,New York,8,Part-time,M369678,Internal,81367,,0,XYZ,XYZ_HRIS,
HR2023_E102120,Application Received,2023-12-05T11:00:00.000Z,E102120,Marketing,New York,8,Part-time,M369678,Internal,81367,,0,XYZ,XYZ_HRIS,
HR2023_E102120,Application Rejected,2023-12-08T09:00:00.000Z,E102120,Marketing,New York,8,Part-time,M369678,Internal,81367,,0,XYZ,XYZ_HRIS,
HR2023_E102157,Job Posted,2023-05-22T10:36:27.613Z,E102157,HR,Sydney,4,Part-time,M968913,Referral,50598,,0,XYZ,XYZ_HRIS,
HR2023_E102157,Application Received,2023-11-24T16:00:00.000Z,E102157,HR,Sydney,4,Part-time,M968913,Referral,50598,,0,XYZ,XYZ_HRIS,
HR2023_E102157,Application Rejected,2023-11-29T13:00:00.000Z,E102157,HR,Sydney,4,Part-time,M968913,Referral,50598,,0,XYZ,XYZ_HRIS,
HR2023_E102633,Job Posted,2023-07-13T10:36:27.613Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0,XYZ,XYZ_HRIS,2023-12-13
HR2023_E102633,Application Received,2023-08-14T12:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0,XYZ,XYZ_HRIS,2023-12-13
HR2023_E102633,Interview Completed,2023-10-03T09:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0,Joint,XYZ_HRIS,2023-12-13
